station_code,station_name,lat,lon,n_trains
RMA,RAMGANJ MANDI JUNCTION,24.644326,75.939131,2
RMB,RAMPURA BERI,28.530845,75.644217,2
RMN,RAMAN,29.959694,74.961948,1
RMU,RAMPUR,28.778643,79.023199,1
RN,RATNAGIRI,17.003113,73.357258,1
RNG,RANIGANJ,23.603161,87.11729,1
RNJ,RUNIJA,23.167665,75.269737,1
RNQ,RENUKUT,24.203308,83.039646,1
ROHA,ROHA,18.44684043,73.12392712,1
ROK,ROHTAK JN,28.890524,76.57917,2
RPAR,RUPNAGAR,30.972826,76.533251,1
RPJ,RAJPURA JN,30.487734,76.590843,1
RPMN,RAMPURMANI HARAN,29.805087,77.460051,1
RPZ,RANA PRATAP NAGAR,24.582407,73.728046,7
RRME,RANCHI ROAD,23.666302,85.511913,1
RSH,RATANSHAHAR,28.159227,75.526156,1
RSWT,RAMGARH SHEKHAWATI,28.169027,74.992676,1
RTA,RUTHIYAI JUNCTION,24.532132,77.176037,2
RTGH,RATANGARH JN,28.073949,74.624119,3
RTM,RATLAM JN,23.34068,75.051126,2
RUPC,RUDRAPUR CITY,28.969551,79.379482,1
RWJ,RAWANIA DUNGAR,25.888261,76.314125,1
RWL,RAIWALA,30.032133,78.209867,1
SAG,SANGRUR,30.243497,75.830126,1
SAH,SAPHALE,19.576612,72.821846,1
SAS,SHEODASPURA PADAMPURA,26.71326,75.882912,1
SASN,SAHIBZADA AJIT SINGH NAGAR,30.665675,76.739502,1
SBB,SAHIBABAD,28.673947,77.364092,1
SBIB,SABARMATI BG,23.0771,72.5889,2
SBLT,SHRI BHADRIYA LATHI,27.030841,71.516361,1
SBR,SAMBHAR LAKE,26.904008,75.179615,4
SCI,SANCHI,23.487966,77.735653,1
SDGH,SRI DUNGARGARH,28.070541,74.008241,2
SDGM,Sardargram,23.070888,72.642117,2
SDLP,SADULPUR JN,28.630788,75.386639,5
SDMK,SIDMUKH,28.892629,75.291882,1
SDRA,SUDHARANA,28.453751,76.425877,2
SDS,SADULSHAHR,29.903014,74.172821,3
SES,Semari,24.071857,73.851128,1
SEU,SENDRA,26.078024,74.194193,1
SGAC,SOGARIYA,25.230255,75.900421,1
SGNR,SHRI GANGANAGAR,29.932102,73.871727,3
SGO,SAUGOR,23.84722,78.74279,2
SGRL,SINGRAULI,24.204287,82.642765,1
SGZ,SHAMGARH,24.191271,75.642972,1
SHDR,SHADHORAGAON,24.633286,77.584591,1
SHR,SIHORA ROAD,23.466966,80.110095,1
SID,SIDDHPUR,23.918167,72.368059,3
SIKR,SIKAR JN,27.616205,75.153308,2
SIR,SIRHIND JN,30.623732,76.382704,1
SJN,SANJAN,20.19213,72.821074,1
SJS,Shamlaji Road,23.621249,73.335285,1
SJWB,SUMERPUR JAWAI BANDH,25.1143319,73.1474863,5
SKF,SAKHOTI TANDA,29.192706,77.718129,1
SLNA,SALAUNA,25.603296,86.260099,1
SMBX,SAMBA,32.528108,75.120006,1
SMP,SHAMBHUPURA,24.771149,74.641628,1
SMQL,SHAMLI,29.444307,77.315941,1
SMR,SAMDHARI JN,25.837132,72.572937,1
SMT,SALAMATPUR,23.461199,77.67231,1
SMVJ,SHRI MAHAVEERJI,26.612151500000003,76.879277,1
SNGN,SANGANER,26.814573,75.772705,1
SOD,SOJAT ROAD,25.862043,73.755512,4
SOG,SURATGARH JN,29.323822,73.906918,2
SOS,SOMESAR,25.519826,73.450599,2
SPJ,SAMASTIPUR JN,25.858374,85.78743,1
SPZ,SAMPLA,28.781953,76.773319,1
SRAS,SIRAS,26.278024,75.989685,1
SRE,SAHARANPUR JN.,29.960809,77.542019,1
SRGH,SURAJGARH,28.297957,75.731313,1
SRPJ,SWARUPGANJ,24.660395,72.933555,2
SRR,SHORANUR JN,10.758985,76.272326,1
SSA,SIRSA,29.539113,75.034904,2
SSB,SHAKURBASTI,28.679519,77.134066,1
SSM,SASARAM,24.956336,84.019833,1
ST,SURAT,21.206418,72.840643,5
STD,SATROD,29.108526,75.82077,2
STNL,SATNALI,28.382188,75.966082,1
SUJH,SUJANGARH,27.709063,74.463959,1
SUNR,Surendranagar,22.74476,71.630516,1
SV,SIWAN JN,26.210664,84.359207,1
SVA,SUWASRA,24.070094,75.648594,1
SWM,SAWAI MADHOPUR JN,26.018069,76.35601,8
SYL,SALPURA,24.773331,76.732635,1
TDL,TUNDLA JN,27.207847,78.233385,1
THVM,THIVIM,15.62998,73.876534,1
TLC,TALCHHAPAR,27.825262,74.487648,1
TOD,Talod,23.351318,72.947931,1
TPZ,TAPRI,29.915588,77.583132,1
TSD,TAHSIL BHADRA,29.101627,75.160389,2
TUN,TOHANA,29.72626,75.904241,1
TWB,TALWANDI,30.861784,74.924054,1
UBC,AMBALA CITY,30.378207,76.763706,1
UBR,UMBARGAM ROAD,20.153539,72.790861,1
UCA,UCHANA,29.466204,76.178684,1
UD,UDUPI,13.335841,74.771233,1
UDN,UDHNA JN,21.170766,72.851071,1
UDZ,UDAIPUR CITY,24.566952,73.699722,8
UHL,UNA HIMACHAL,31.478452,76.27533,1
UJA,UNJHA,23.796536,72.381749,4
UJN,UJJAIN JN,23.178554,75.781803,2
UMB,AMBALA CANT JN,30.338658,76.826706,3
UMED,UMED,26.548992,73.605566,1
UMRA,Umra,24.510736,73.768215,1
UTL,UTARLAI,25.788454,71.443748,1
UVD,UDVADA,20.461716,72.919178,1
VAPI,VAPI,20.373918,72.908707,5
VDH,VEDCHHA,20.874451,72.936215,1
VG,Viramgam Jn,23.128718,72.052588,1
VGN,VANGAON,19.883055,72.763395,1
VMA,VIKRAMGARH ALOT,23.765001,75.538259,1
VR,VIRAR,19.454817,72.812147,1
VRH,VIRBHADRA,30.074999,78.252354,1
VTN,VAITARNA,19.518092,72.849998,1
YJUD,YAMUNANAGAR JAGADHRI,30.048143500000002,77.391379,1
ZW,Zawar,24.356636,73.731308,2
